	tweet	user	user_statuses_count	user_followers	user_verified	fav_count	rt_count	date
40	Compares Robinhood to Clorox and Lysol having a supply problem, then says it wasn’t a supply problem. Okay @vladtenev #DeleteRobinhood #CNBC #amcstock #gamestopstock	Gav 💎👐	229	42	False	0	0	2021-01-28 23:59:48
41	@vladtenev @RobinhoodApp But I loved you in the crow, deadass mf	JaMarcus	11	0	False	0	0	2021-01-28 23:59:48
42	"RT @manal____manal: “ah, um, ah, um...clorox, hand sanitizer, oh, um, ah....i, i, i....” 

STFU @vladtenev"	Bubbles’ Hedge Fund #TRT	7460	1633	False	0	35	2021-01-28 23:59:48
43	@vladtenev Bulshit bro	konstantin brrrrrrrr	1573	129	False	0	0	2021-01-28 23:59:47
44	@SlayinDaveTV @vladtenev Yea they def have a liquidity issue our did it at the direction of citidal	nymarine81	453	111	False	1	0	2021-01-28 23:59:47
45	@vladtenev @RobinhoodApp Only support you're getting is an athletic supporter	JamesHarrishere	28	0	False	0	0	2021-01-28 23:59:47
46	@vladtenev I really hope this ass hat knows no one is buying this shit. He's just protecting his own ass while protecting his hedge fund he skips money to.	FAT MAN TOM CRUISE $GME	17900	89	False	0	0	2021-01-28 23:59:47
47	RT @TradinStockz: @stoolpresidente @ParikPatelCFA @WSBChairman @wsbmod @CNBC This guy @vladtenev is straight avoiding the fact that the sto…	Hareclea Olymbiou	6002	648	False	0	1	2021-01-28 23:59:46
48	@stoolpresidente GUILTY. @vladtenev needs to be held accountable.	Farokh Sarmad	449	1830	False	0	0	2021-01-28 23:59:46
49	@vladtenev @WebullGlobal  we coming.  Fuck this guy	Steely Dad	739	11	False	0	0	2021-01-28 23:59:46
50	@vladtenev ANSWER THE QUESTIONS YOU DEFINITELY CAN DODGE A WRENCH	BPM 37093	4240	87	False	0	0	2021-01-28 23:59:46
51	"@vladtenev Did you really just compare your situation today to Lysol at the height of the pandemic? 🤦🏻‍♂️...

@cnbc @andrewrsorkin 

#LOCKHIMUP #DONOTSELL #WSB $GME $AMC $BB $NAKD $NOK"	Edward Alexander	362	46	False	0	0	2021-01-28 23:59:45
52	@vladtenev Cock sucker	Michael ferrett	2	0	False	0	0	2021-01-28 23:59:43
53	@SpacTraderinTra @vladtenev Pretty much first come first serve	Bo0MH4CKZ	18581	10596	False	1	0	2021-01-28 23:59:43
54	"RT @stocktalkweekly: .@RobinhoodApp CEO @vladtenev on @CNBC 

""We did not do this at the direction of any market maker or hedge fund... We…"	Layla	6809	766	False	0	21	2021-01-28 23:59:43
55	@yashar @vladtenev @andrewrsorkin This interview is a disaster for the company. Awful performance.	Michael Botta	177	1110	False	12	0	2021-01-28 23:59:43
56	@vladtenev You ever fuck up so bad you destroy your business in one move? @RobinhoodApp has	Ani	15	0	False	0	0	2021-01-28 23:59:43
57	What a disappointing interview. Claims no liquidity issue and they did it because they felt like they should for customers and the firm? @andrewrsorkin @vladtenev	Sub Pop Finance	354	127	False	0	0	2021-01-28 23:59:43
58	@Jason @robinhood @vladtenev @bprafulkumar Right...I'm supposed to believe the guy with a vested interest.	Vince Malfeo	14985	3503	False	1	0	2021-01-28 23:59:42
59	@vladtenev @RobinhoodApp disturbing what has happened and the little people got closed out whilst what I am hearing the big boys closed ranks. I think a lot of people globally will know this and not sign up. Information travels fast. I have now decided not to sign up based on what I am hearing.	Zambuca	10937	85	False	0	0	2021-01-28 23:59:42
60	Taking a shot every time @vladtenev  lies or misrepresents facts about his market manipulation on @CNBC https://t.co/aeO9lbBqhR	Gnarled Gnome	11813	687	False	2	0	2021-01-28 23:59:42
61	@adamdrawsrobots @chrisonsocials @vladtenev @RobinhoodApp Where did I say anything about the state guaranteeing its own capital, though? The state serves the owners of (huge amounts of) capital, not the other way around.	Commissariat	3040	202	False	0	0	2021-01-28 23:59:41
62	"RT @stocktalkweekly: .@RobinhoodApp CEO @vladtenev on @CNBC 

""We did not do this at the direction of any market maker or hedge fund... We…"	Mr. Pink	272	39	False	0	21	2021-01-28 23:59:41
63	@vladtenev fuck you and everything you stand for. You protect big money while they fuck over the average trader. We like this stock $AMC #AMC $GME #GME	ImxBanana	1016	21	False	0	0	2021-01-28 23:59:41
64	"RT @yashar: 3. Robinhood CEO @vladtenev keeps noting that the app is #1 on the app store. ""We've never been #1 in the app store,"" he just a…"	:)	10810	130	False	0	74	2021-01-28 23:59:41
65	@vladtenev essentially just admitted #RobinHood had a liquidity issue or was the issue the poor not the rich were getting richer. #TheRichGetRicher #wbs	liberalnh	249	6	False	1	0	2021-01-28 23:59:41
66	So @vladtenev gives lame excuse for locking people out of buying $GME and refused to apologize for hurting their customers during CNBC interview. Own your mistakes and make it right. #RobinHood #RobinhoodApp #GameStop	Gregory Graf	1006	255	False	2	0	2021-01-28 23:59:41
67	@vladtenev You belong in prison.	ACAB 1312	2283	93	False	0	0	2021-01-28 23:59:40
